,Index,ID,Provinz,Ort,Breite,Länge,Text,_7,_8,_9
20,3529,EDCS-20401453,Apulia et Calabria / Regio II,Ariano Irpino / Aequum Tuticum,41.1526668,15.0885633,]CH[3 in]/nocenti femin(ae) / t&lt;y=I&gt;mpanistriae / Matris deum / [o]pt(imae) con(iugi) Marcus / [b(ene)] m(erenti) f(ecit),171,300,
21,3598,EDCS-12401163,Apulia et Calabria / Regio II,Benevento / Beneventum,41.1295587,14.7824639,A(ulo) Vibbio / A(uli) f(ilio) Pal(atina) Proc() / aed(ili) pr(a)e[f(ecto)] / fabr(um) IIvir(o) / i(ure) d(icundo) q(uaestori) pontif(ici) / Ursio Daphine / Herme{n}s Sabina / l(iberti) p(atrono) b(ene) m(erenti),101,200,liberti/libertae;  milites;  mulieres;  nomen singulare;  ordo decurionum;  ordo equester;  sacerdotes pagani;  tria nomina;  viri
22,3665,EDCS-75500096,Apulia et Calabria / Regio II,Benevento / Beneventum,41.1295587,14.7824639,D(is) M(anibus) / C(ai) Marci Feli/cis qui vixit / ann(os) XXII men(ses) / sex Trebonia / Hygia et Marci/us Euplus fil(io) suo / b(ene) m(erenti) f(ecerunt),101,300;,mulieres;  tria nomina;  viri
23,3840,EDCS-63900074,Apulia et Calabria / Regio II,Larino / Larinum,41.8055672,14.9210984,S(enatus) c(onsultum) / [3]l() in Palatio in porticu quae est ad Apollinis scr(ibundo) ad(fuerunt) C(aius) Ateius L(uci) f(ilius) Ani(ensi) Capito Sex(tus) Pomp[eius Sex(ti) f(ilius) 3] / [3] Octavius C(ai) f(ilius) Ste(llatina) Fronto M(arcus) Asinius Curti f(ilius) Arn(ensi) Mamilianus C(aius) Gavius C(ai) f(ilius) Pob(lilia) Macer q(uaestor) A(ulus) Did[ius 3 f(ilius) 3 Gallus q(uaestor)] / [quod M(arcus) Silan]us L(ucius) Norbanus Balbus co(n)s(ules) v(erba) f(ecerunt) commentarium ipsos composuisse sic uti negotium iis [datum erat de 3] / [senat]orum(?) pertinentibus aut ad eos qui contra dignitatem ordinis sui in scaenam ludumv[e gladiatorium prodi]/[rent] u(ti) s(ancitur) s(enatus) c(onsultis) quae d(e) e(a) r(e) facta essent superioribus annis adhibita fraude qua maiestatem senat[us minuerent q(uid) d(e) e(a) r(e) f(ieri) p(laceret) d(e) e(a) r(e) i(ta) c(ensuere)] / [pl]acere ne quis senatoris filium filiam nepotem neptem pronepotem proneptem neve que[m cuius patri aut avo] / vel paterno vel materno aut fratri neve quam cuius viro aut patri aut avo paterno ve[l materno aut fratri ius] / fuisset u&lt;m=N&gt;quam spectandi in equestribus locis in scaenam produceret auctoramentove rog[aret ut in scaenam(?)prodi]/ret(?) aut ut pinnas gladiatorum raperet aut ut rudem tolleret aliove quod eius rei simile min[istraret neve si quis se] / praeberet conduceret neve quis eorum se locaret idque ea de causa diligentius caveri dum[modo(?) ne 3 d(olo) m(alo) perseverent qui] / eludendae auctoritatis eius ordinis gratia quibus sedendi in equestribus locis ius erat aut p[ublicam ignominiam] / ut acciperent aut ut famoso iudicio condemnarentur dederant operam et posteaquam ei des[civerant sua sponte ex] / [eq]uestribus locis auctoraverant se aut in scaenam prodierant neve quis eorum de quibus [s(upra) s(criptum) e(st) si id contra dignitatem ordi]/[nis su]i faceret libitinam haberet praeterquam si quis iam prodesset(!) in scaenam operasve s[uas ad ludum locasset si]/[ve na]tus natave esset ex histrione aut gladiatore aut lanista aut lenone / [cum] s(enatus) c(onsulto) quod M(anio) Lepido T(ito) Statilio Tauro co(n)s(ulibus) referentibus factum esset scriptum compre(he)n[sum esset ne cui ingenuae quae] / [minor qu]am an(norum) XX neve cui ingenuo qui minor quam an(norum) XXV esset auctorare se operas[ve suas ad ludum 3] / [3]os locare permitteretur nisi qui eorum a divo Augusto aut ab(!) Ti(berio) Caesare Aug[usto in scaenam ludumve] / [gladiatorium co]niectus esset {qui eorum} is qui ita coniecisset auctorare se operasve suas [locare 3] / [3]arem redducendum esset statuissent id servari placere praeterquam [si quis 3] / [3]O[,19,19,Augusti/Augustae;  mulieres;  officium/professio;  ordo equester;  ordo senatorius;  senatus consulta;  tituli operum;  tituli sacri;  tria nomina;  viri
24,3880,EDCS-08201515,Apulia et Calabria / Regio II,Lucera / Luceria,41.5082727,15.3376465,[L(ucio)] Ocratio Co[ri]n/[th]o Apol(linari) Ocratia / [Sil]vana c(oniugi) b(ene) m(erenti),101,200,mulieres;  tria nomina;  viri
25,3883,EDCS-08201530,Apulia et Calabria / Regio II,Lucera / Luceria,41.5082727,15.3376465,]ris / Adbenta(!) con/iugi b(ene) m(erenti) / fecit,101,200,mulieres;  viri
26,3995,EDCS-53400844,Apulia et Calabria / Regio II,Oppido Lucano / Bantia,40.76182,15.98667,] Clepp[iae(?)] / [3]ae ser(vo) / [loco pre]cario f[ec(it)] / [3]a coniu[g(i) b(ene) m(erenti)],101,200,
27,4005,EDCS-09800065,Apulia et Calabria / Regio II,Ordona / Herdonia,41.3155462,15.6273179,L(ucio) Arrenio L(uci) fil(io) / Pap(iria) Menandro / aed(ili) IIIIvir(o) II q(uin)q(uennali) mu/ner(ario) civ(itatis) Herd(oniensium) om/nib(us) hon(oribus) et one/ribus rei publ(icae) fu/ncto patrono / coll(egium) fabr(um) tign(uariorum) / ob praecipuam / adfectionem / eius statuam po/nendam meren/[t]i decrevit / l(ocus) d(atus) d(ecreto) d(ecurionum),201,220,
28,4115,EDCS-76300074,Apulia et Calabria / Regio II,Talsano / Tarentum,40.4085472,17.2804512,D(is) M(anibus) / P(ublius) Clusovius / Cevienus / Cicilia(e) / b(ene) m(erenti) p(osuit),51,100,mulieres;  nomen singulare;  tria nomina;  viri
29,4130,EDCS-83500055,Apulia et Calabria / Regio II,Taranto / Taras / Neptunia / Tarentum,40.4712427,17.2432278,D(is) M(anibus) Epuleia / Primilla v(ixit) a(nnos) XXXX / Publicius / Onesi&lt;ph=F&gt;orus / co(n)iugi b(ene) m(erenti) f(ecit),101,200,mulieres;  tria nomina;  viri
