ID,Text,Zuschreibung,Evaluation,
EDCS-22901903, iria Cai liberta Philum ,,TN,
EDCS-13000708,Dis Manibus sacrum   Ianua ria vixit annos V menses V dies II    VA  III  AE ,,TN,
EDCS-34801123, bustu   hos ,,TN,
EDCS-24400366,Arrun lt ti=IL gt a Honor ata Luci filia vixit annos XXXXI,,TN,
EDCS-23701915,Memoriae,,TN,
EDCS-14801555,Lucius Trebius   Iuliae   Trebius    Trebius ,,TN,
EDCS-12800233,Dis Manibus Aeliae Sabinae Publius Aelius Hermes libertus bene merenti fecit quae vixit annos X,mero,TP,
EDCS-26600821,Dis Manibus Caio Bovi  Sympho ri Augustali coloniae Dacicae Sarmizegetusae qui vixit annos XXV ,,TN,
EDCS-20403113,Aulus Metilius Eros vixit annis LX,,TN,
EDCS-04200269,Caio Laecanio Horeo Licinia Nephele de suo,,TN,
EDCS-04800153,Agapeto filio dulcissimo q ui vixit annis XVIII et menses  lt qu=C gt inque undeci lt m=N gt   dies minus die XVII Fenia Maxima bene merenti mater,,FN,
EDCS-05701413,Dis Manibus Nasenniae Pinyte vixit annis viginti   havete,,TN,
EDCS-20600352,vixit annis quadragin ta cinque  ex quo na ti sunt filii viginti un us et Camurius Niarchus   Rufina filia ipsius q ui  vixit annis cin quaginta  quattuor bene merenti fecerunt,,TN,Kein syntaktischer Zusammenhang
EDCS-73100390,Dis Manibus Statilius Quintianus qui  lt v=B gt ixit annos V menses II diebus  VI horas X Cnaeus Statilius Abascantus et Pacilia Quintiane parentes fecerunt,,TN,
EDCS-48300136,  Homonio     Ulpio Priv   aris,,TN,
EDCS-19301141,Caius Terenti lt us=O gt  Cai libertus Ale xander medicus Terentia Cai liberta Flora posterisque eorum,,TN,
EDCS-23500389,s militavit annos   vixit annos   Claudia A  et Lucius Gavius  lus miles cohortis   Munati  ,,TN,
EDCS-20300010,Dis Manibus sacrum Lucio Sallust lt io=V gt  Victori filio vixit annis XXI,,TN,
EDCS-20403526,Iucundus Antoniae Drusi libertus,,TN,
EDCS-44800149,Imperatori Caesari Tito Aelio Hadriano Antonino Pio pontifici maximo tribunicia potestate XII imperatori II consuli IIII patri patriae et Aurelio Vero Caesari consuli II Colonia Ulpia Oescus per Caium Prastinam Messalinum legatum Augusti pro praetore provinciae  ,,TN,
EDCS-04201581,De pecunia publica Caius Rubenius Cai filius ludum gladiatorium fecit,,TN,
EDCS-28200039,Domino nostro Imperatori Caesari Marco Iulio Philippo In victo Pio Felici Augusto pontifici maximo tribunicia potestate patri patriae ab Aquis milia passuum V,,TN,
EDCS-34300962,NILI,,TN,
EDCS-24400355,Ex auctoritate Imperatoris Nervae Traia ni Caesaris Augusti Germanici fines dere cti inter rem pu blicam coloniam Phi lippiensem et Claudianum Ar temidorum sua pecunia curavit ,,TN,
EDCS-03400478,Lucio Aemilio   filio Palatina Sempronio Clementi Silvaniano aedili quaestori IIviro flamini iudici decuriae IIII curatori Capitoli Caius Apuleius Lupus Complutensis amico,,TN,
EDCS-07800334,V,,TN,
EDCS-74400165,Valerio Flavo ,,TN,
EDCS-27500297,Marti et Victoriae vi lt c=K gt ani Scuttarienses curam agentibus Caio Iulio Impetrato et Tito Flavio Gemelino Imperatore  Commodo  III,,TN,
EDCS-31400019,Imperatori Caesari Traiano Hadriano Augusto patri patriae legio X Fretensis et cohors I,,TN,
EDCS-21300943,Caio Iulio Marci filio Voltinia Proculo consuli XVviro sacris faciundis fetiali curatori operum publicorum legato Augusti pro praetore ad census provinciae Lug dunensis legato Augusti pro praetore regionis Transpadanae legato legionis VI Ferratae praetori tribuno plebis ab actis Imperatoris Traiani Augusti tribuno legionis IIII Scy thicae quaestori Augustorum IIIviro aere argento auro flando feriundo Antiates publice patrono,,TN,
EDCS-80600030,Luci Aureli Veri Augusti ,,TN,
EDCS-34201082,meno   Agathon  O,,TN,
EDCS-66300889,Legio IIII Macedonica,,TN,
EDCS-32803420,Ex figlinis Domitiae Domitiani Sulpicianis Paetino et Aproniano consulibus,,TN,
EDCS-24500522,In honorem Genii centuriae pro salute Augusti Flavius Victo rinus votum solvit libens merito,,TN,
EDCS-07800721,|Centuria Rufi Sabini GNATLV,,TN,
EDCS-18400018,Legio XIII Gemina,,TN,
EDCS-06000429,Publio Septimio Getae Caesari Imperatoris Caesaris Luci Septimi Severi Pii Pertina cis Augusti Arabici A diabenici Parthi ci maximi fortissi mi felicissimi patris patriae filio et Imperatoris Caesaris Marci Aurelli An tonino  Augusti tribunicia potestate proconsulis fratri Messius Atticus |centurio cohortis X urbanae votum solvit,,FN,
EDCS-21200017,pro seviratu gratuito D  Se,,TN,
EDCS-71400225, Speratus  ,,TN,
EDCS-66300013,Imperator Caesar Marcus Aurelius Antoninus Pi us Felix Augustus pater patriae consul divi Mag ni Antonini filius divi Se veri nepos mi liaria nova posuit per Titum  Aelium Decria num procuratorem su um res publica Pomarium milia passuum XI,,TN,
EDCS-19000077,Ossa Marciae |mulieris libertae Regillae Caius P V,,TN,
EDCS-29600363,Imperator Caesar Traianus Hadrianus Augustus tribunicia potestate XVIII consul III pontifex maximus pater patriae a colonia Caesare Augusta milia passuum LXV,,TN,
EDCS-71700020,Cohors III,,TN,
EDCS-08901039,I    Senecio,,TN,
EDCS-27500043,Lucius Statius Luci filius Facula quinquennalis Matri deum aedem de pecunia sua fecit ex voto,,TN,
EDCS-12100851,Imperator Caesar Caius Iulius Verus Maxi minus Pius Felix Augustus pontifex maximus tribunicia potestate II consul pater patriae proconsul nomina militum qui militaverunt in cohortibus praetoriis Maxi minianis decem I II III IIII V VI VII VIII VIIII X piis vindicibus qui pie et fortiter militia functi sunt ius tribui conubii dumtaxat cum sin gulis et primis uxoribus ut etiam si peregrini iuris feminae in ma trimonio suo iunxerint proin de liberos tollant ac si ex duobus civibus Romanis natos ante diem VII Idus Ianuarias Imperatore Caesare Caio Iulio Vero Maximino Pio Felice Augusto Marco Pupieno Africano consulibus cohortis V praetoriae  Maximinianae Piae Vindicis Marco Aurelio Marci filio Ulpia Vellico Serdica descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam  Imperator Caesar Caius Iulius Verus Maxi minus Pius Felix Augustus pontifex maximus tribunicia potestate II consul pater patriae proconsul nomina militum qui militaverunt in cohortibus praetoriis Maxi minianis decem I II III IIII V VI VII VIII VIIII X piis vindicibus qui pie et fortiter militia functi sunt ius tribui conubii dumtaxat cum sin gulis et primis uxoribus ut etiam si peregrini iuris feminae in ma trimonio suo iunxerint proin de liberos tollant ac si ex duobus civibus Romanis natos ante diem VII Idus Ianuarias Imperatore Caesare Caio Iulio Vero Maximino Pio Felice Augusto Marco Pupieno Africano consulibus cohortis V praetoriae  Maximinianae Piae Vindicis Marco Aurelio Marci filio Ulpia Vellico Serdica descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Cai Popili Fortunati Marci Molli Agathopi Publi Septimi Bassi Cai Masili Ingenui Marci Aureli Dizes Marci Aureli Diogenetis Titi Claudi Bassi,,TN,
EDCS-05200616,  Invicto pr o salute su am et suor um ex voto posuit Ulpius Valens miles classis Messa la et Sabino consulibus,,TN,
EDCS-12700659, Tromentina Maximo IIIIviro iure dicundo IIIIviro quinquennali bis flamini Augustali tribuno militum legionis VI Gemellae praefecto fabrum auguri quaestori decreto decurionum,,TN,
EDCS-01200040,Iovi Optimo Maximo ceteris que dis deabus omnibus ,,TN,
EDCS-16400048,In honorem domus divinae Genio tectorum milites Mattiacorum,,TN,
EDCS-11900396,ssa  Hostilinianus   IIvir quaestor aerarii Ostiensium flamen decreto decurionum curator lusus iuvenalis   qui primus omnium ab urbe condita ludos cum   gladiatorum et mulieres ad ferrum dedit una cum   Sabina uxore fecit sibi et  nio Agonio     corporis togatensium  um qui et,,TN,
EDCS-28000306,Casellium aedilem,,TN,
EDCS-17201126,Publius Alfenus Vari libertus Techno,,TN,
EDCS-26600801,Silvano Do mestico Publius Aelius Eupho rus pro salute Publi Aeli Mari con ductoris pascui et sa linarum libens votum vovit,,TN,
